"Step","gan - discriminator loss","gan - generator loss"
"0","0.6826860904693604","1.7516218423843384"
"1","0.6529971361160278","2.0854978561401367"
"2","0.6705173850059509","2.071065902709961"
"3","0.7537946701049805","1.8853245973587036"
"4","0.8573771715164185","1.6435555219650269"
"5","1.0364094972610474","1.2744752168655396"
"6","1.1078675985336304","1.1272062063217163"
"7","1.1385711431503296","1.0700337886810303"
"8","1.1700712442398071","1.0262274742126465"
"9","1.1981315612792969","0.9786616563796997"
"10","1.2149730920791626","0.9523802995681763"
"11","1.2340432405471802","0.9243412613868713"
"12","1.247521996498108","0.9033653140068054"
"13","1.2512564659118652","0.8919116854667664"
"14","1.255749225616455","0.8905887007713318"
"15","1.2619377374649048","0.8821809887886047"
"16","1.2664518356323242","0.875810980796814"
"17","1.2720049619674683","0.8670687675476074"
"18","1.2694300413131714","0.8699440956115723"
"19","1.2740068435668945","0.8629299998283386"
