"Step","gan - generator loss","gan - discriminator loss"
"1","1.8549494743347168","0.6496669054031372"
"2","2.1542484760284424","0.6214643120765686"
"3","2.4059746265411377","0.5449120998382568"
"4","1.9443638324737549","0.7323185205459595"
"5","1.6073354482650757","0.8634401559829712"
"6","1.3796308040618896","0.9698371291160583"
"7","1.1929535865783691","1.068443775177002"
"8","1.0934631824493408","1.1267001628875732"
"9","1.0534920692443848","1.1494742631912231"
"10","1.0100586414337158","1.1763672828674316"
"11","0.9746991991996765","1.2008241415023804"
"12","0.948500394821167","1.2174310684204102"
"13","0.9266588687896729","1.2338135242462158"
"14","0.9079055786132812","1.242932677268982"
"15","0.9019219279289246","1.2484863996505737"
"16","0.8877481818199158","1.2578072547912598"
"17","0.8865253329277039","1.25947904586792"
"18","0.8772565722465515","1.265527606010437"
"19","0.8733707070350647","1.2654470205307007"
"20","0.8718825578689575","1.2689390182495117"
