"Step","dcgan - discriminator loss","dcgan - generator loss"
"0","0.2663464844226837","3.6201345920562744"
"1","0.36083483695983887","3.2208545207977295"
"2","0.39338910579681396","3.016598701477051"
"3","0.4675559997558594","2.742182731628418"
"4","0.4873989522457123","2.5971765518188477"
"5","0.4971001446247101","2.5444891452789307"
"6","0.5053624510765076","2.5371923446655273"
"7","0.47429293394088745","2.6770546436309814"
"8","0.45146459341049194","2.7662158012390137"
"9","0.4479008913040161","2.774942636489868"
"10","0.42442643642425537","2.844369411468506"
"11","0.401325523853302","2.9695205688476562"
"12","0.4094119966030121","2.930844783782959"
"13","0.3809061050415039","3.068955421447754"
"14","0.369831383228302","3.1795074939727783"
"15","0.35142210125923157","3.279076337814331"
"16","0.36634495854377747","3.2062227725982666"
"17","0.345828115940094","3.2809975147247314"
"18","0.35495230555534363","3.2719178199768066"
"19","0.33849459886550903","3.3496992588043213"
"20","0.3562549650669098","3.317715883255005"
