step,discriminator,generator
1,1.824,2.063
2,1.338,2.607
3,0.931,3.555
4,0.704,4.324
5,0.668,4.809
6,0.615,5.150
7,0.592,5.195
8,0.517,5.490
9,0.516,5.886
10,0.466,6.112
11,0.481,6.175
12,0.422,6.395
13,0.407,6.606
14,0.412,6.714
15,0.373,6.889
16,0.424,6.866
17,0.323,7.027
18,0.347,7.397
19,0.289,7.618
20,0.321,7.640
