step,discriminator,generator
1,3.637,2.592
2,2.050,2.240
3,1.245,3.896
4,0.999,4.727
5,0.894,4.877
6,0.832,5.149
7,0.723,5.543
8,0.707,5.576
9,0.641,5.741
10,0.597,5.883
11,0.536,6.409
12,0.525,6.443
13,0.539,6.469
14,0.526,6.400
15,0.544,6.430
16,0.509,6.479
17,0.458,6.881
18,0.451,6.890
19,0.403,7.499
20,0.419,7.500
