step,discriminator,generator
1,1.296207070350647,0.410755455493927
2,1.5609530210494995,0.5352165102958679
3,1.5960979461669922,0.8315820693969727
4,1.3456639051437378,1.2319285869598389
5,1.579301118850708,-0.19087593257427216
6,1.2849488258361816,1.290701150894165
7,1.5465883016586304,-0.32959580421447754
8,1.5848947763442993,1.2349028587341309
9,1.0938005447387695,-0.15563933551311493
10,1.311000943183899,1.0026021003723145
11,1.5007821321487427,0.9544780850410461
12,1.3201518058776855,0.28334516286849976
13,1.0774006843566895,0.5790665149688721
14,1.131173849105835,0.14844198524951935
15,1.1701430082321167,1.6507586240768433
