step,discriminator,generator
1,3.858,31.626
2,1.901,27.499
3,1.846,27.361
4,1.816,27.288
5,1.791,27.196
6,1.777,27.109
7,1.764,27.131
8,1.739,27.198
9,1.716,27.192
10,1.710,27.046
11,1.692,27.149
12,1.696,26.969
13,1.680,26.855
14,1.668,26.984
15,1.675,26.828
16,1.655,26.859
17,1.632,26.759
18,1.637,26.796
19,1.611,26.714
20,1.597,26.780
