step,discriminator,generator
1,1.337261438369751,2.0461103916168213
2,1.4444470405578613,1.0342519283294678
3,1.736976146697998,0.3468095064163208
4,1.2838599681854248,1.3833997249603271
5,1.5461657047271729,0.43135958909988403
6,1.2321462631225586,1.16733980178833
7,1.323886752128601,1.048649549484253
8,1.313546895980835,1.0741796493530273
9,1.1671762466430664,-0.11193893849849701
10,1.1695301532745361,0.6451305150985718
11,1.098875641822815,1.322666049003601
12,1.1669572591781616,1.3422900438308716
13,1.1661746501922607,-0.022405559197068214
14,1.072835922241211,0.6702172756195068
15,0.888337254524231,1.8339035511016846
