step,discriminator,generator
1,3.693,31.504
2,1.870,27.749
3,1.813,27.542
4,1.785,27.462
5,1.780,27.335
6,1.754,27.263
7,1.750,27.109
8,1.726,27.214
9,1.713,27.239
10,1.712,27.115
11,1.683,27.213
12,1.686,27.071
13,1.680,26.955
14,1.661,27.068
15,1.659,26.993
16,1.650,26.946
17,1.639,26.836
18,1.630,26.833
19,1.617,26.720
20,1.596,26.757
